"PERS_ID","YM_start","YM_end"
126909523,201701,201712
126916511,199510,199608
126916511,199609,199806
126916511,199810,199909
126916511,199909,199910
126916511,199910,199912
126916511,200005,200005
126916511,200005,200105
126916511,200111,200810
126950259,200208,200306
126975849,201809,201810
126983723,199804,199811
126990135,201106,201201
126990135,201210,201305
126990135,201306,201404
126990135,201405,201410
126990135,201410,201603
127006031,200004,200101
127008341,200303,200510
127025121,201407,201407
127025121,201510,201606
127025121,201611,201708
127025121,200308,200401
127025121,200504,200607
127025121,201203,201407
127044829,200206,200209
127044829,200301,200306
127044829,200507,200510
127044829,200606,200710
127065177,200204,200204
127065177,201403,201609
127069209,200903,201007
127083169,201201,201202
127113047,200307,200401
127117699,200004,200104
127117699,200105,200203
127117699,201208,201303
127213201,200908,200910
127213201,201710,201804
127213201,201310,201805
127238973,201508,201805
127264277,200012,200202
127264277,200106,200107
127264277,201003,201105
127281871,201708,201712
127294603,201707,201710
127330477,199410,199605
127330477,199607,199702
127330477,199808,199809
127330477,199809,200205
127380249,201005,201010
127380249,201012,201103
127380249,201105,201305
127388503,201310,201411
127402421,201308,201407
127402753,201106,201406
127412423,201508,201510
127452379,200210,200210
127452379,200705,200705
127452379,200706,200706
127452379,200707,200811
127452379,201101,201202
127452379,201408,201410
127452379,201411,201605
127461303,201501,201512
127477877,201409,201412
127477877,201608,201706
127477897,201603,201604
127484007,200304,200308
127484007,200609,200709
127484007,200609,200709
127513181,200503,200603
127513181,201411,201501
127564161,201111,201111
127564161,201202,201204
127639467,200312,200403
127639467,200405,200409
127725473,200603,200605
127725473,200607,200809
127735737,201108,201108
127737025,201306,201308
127737025,201409,201411
127751341,200904,200907
127751341,201005,201012
127751341,201103,201501
127769803,201504,201511
127774703,200205,200208
127775391,200105,200105
127775391,200107,200109
127775391,201608,201612
127821801,200907,201305
127821801,201305,201405
127821801,201405,201506
127911229,201111,201412
127911229,201601,201809
127912461,201012,201206
127912461,201208,201305
127920465,201508,201604
127943125,201706,201808
127943125,200706,200808
127943125,200809,200812
127943125,200903,200909
127943125,200910,200911
127943125,201004,201205
127943125,201207,201302
127943125,201303,201310
127961519,200109,200110
127968357,201102,201107
128011857,200908,201004
128011857,201004,201211
128067571,201501,201505
128067571,201012,201103
128067571,201106,201109
128067571,201110,201110
128067571,201112,201204
128067571,201207,201209
128067571,201309,201310
128067571,201312,201312
128067571,201401,201410
128105977,200906,200907
128105977,201003,201209
128110501,201107,201204
128110501,201205,201206
128110501,201207,201209
